start,end,conc_mg_l
12/9/2009 1:00,12/15/2009 21:32,2.45
12/25/2009 20:45,12/30/2009 10:23,2.36
1/17/2010 13:00,1/25/2010 3:30,2.2
1/25/2010 3:30,1/31/2010 15:01,2.41
2/23/2010 19:00,2/28/2010 20:51,2.12
3/10/2010 13:15,3/13/2010 12:15,1.83
3/13/2010 12:16,3/20/2010 9:11,2.08
5/23/2010 0:30,5/26/2010 15:25,1.91
9/30/2010 1:15,10/5/2010 8:33,1.82
12/1/2010 9:15,12/7/2010 6:43,2.62
2/4/2011 0:45,2/8/2011 20:34,2.1
3/6/2011 14:30,3/10/2011 7:00,2.75
3/10/2011 12:15,3/15/2011 6:37,2.9
3/24/2011 17:45,3/28/2011 12:21,9.21
4/12/2011 14:30,4/18/2011 8:30,1.99
4/18/2011 8:45,4/20/2011 13:00,2.03
4/20/2011 13:15,4/24/2011 6:47,1.59
4/28/2011 9:45,5/2/2011 20:30,2.06
5/16/2011 16:00,5/23/2011 13:08,1.66
9/5/2011 23:15,9/13/2011 19:33,2.4
9/22/2011 12:15,10/5/2011 13:52,2.17
10/13/2011 6:00,10/18/2011 15:29,1.95
10/29/2011 8:15,11/3/2011 0:16,1.73
11/18/2011 11:30,11/20/2011 16:09,1.54
12/1/2011 20:15,12/3/2011 9:03,1.74
12/23/2011 1:15,12/25/2011 8:13,2.07
12/27/2011 15:30,12/30/2011 7:50,2.03
1/12/2012 1:00,1/18/2012 7:30,1.93
2/29/2012 10:15,3/9/2012 3:57,1.78
3/25/2012 18:00,3/31/2012 17:00,1.67
5/16/2012 11:00,5/20/2012 1:50,1.6
5/22/2012 15:00,5/25/2012 13:26,1.79
9/19/2012 10:30,9/22/2012 22:04,2.41
10/29/2012 4:45,11/5/2012 16:35,2.74
12/22/2012 0:00,12/29/2012 11:45,1.82
1/13/2013 4:15,1/22/2013 1:39,1.97
11/23/2011 8:00,11/28/2011 3:00,
12/7/2011 5:00,12/16/2011 8:00,